Focal Length mm,FOV in degrees
10,130
11,126
12,122
13,118
14,114
15,110
16,107
17,104
18,100
19,97
20,94
21,92
22,89
23,86
24,84
25,82
26,79
27,77
28,75
29,73
30,71
31,70
32,68
33,66
34,65
35,63
36,62
37,61
38,59
39,58
40,57
41,56
42,55
43,53
44,52
45,51
46,50
47,49
48,48
49,47
50,46
51,46
52,45
53,44
54,44
55,43
56,42
57,42
58,41
59,40
60,40
61,39
62,38
63,38
64,37
65,37
66,36
67,36
68,35
69,35
70,34
71,34
72,33
73,33
74,32
75,32
76,32
77,31
78,31
79,31
80,30
81,30
82,30
83,29
84,29
85,28
86,28
87,28
88,28
89,27
90,27
91,27
92,26
93,26
94,26
95,26
96,25
97,25
98,25
99,25
100,24
101,24
102,24
103,24
104,23
105,23
106,23
107,23
108,22
109,22
110,22
111,22
112,22
113,21
114,21
115,21
116,21
117,21
118,21
119,20
120,20
121,20
122,20
123,20
124,20
125,19
126,19
127,19
128,19
129,19
130,19
131,19
132,19
133,18
134,18
135,18
136,18
137,18
138,18
139,18
140,18
141,17
142,17
143,17
144,17
145,17
146,17
147,17
148,17
149,16
150,16
151,16
152,16
153,16
154,16
155,16
156,16
157,16
158,15
159,15
160,15
161,15
162,15
163,15
164,15
165,15
166,15
167,15
168,15
169,15
170,14
171,14
172,14
173,14
174,14
175,14
176,14
177,14
178,14
179,14
180,14
181,14
182,14
183,13
184,13
185,13
186,13
187,13
188,13
189,13
190,13
191,13
192,13
193,13
194,13
195,13
196,13
197,12
198,12
199,12
200,12
